rank_emul	rank_star	rank_real	rank_outdeg	rank_tweet	pagerank	pagerank(filter)	sumM_neigh	rank_out_real	rank_in_real
18069	19100	28599	16994	24488	12011	11644	17762	30738	25387
18070	22870	19564	13288	38332	16204	15666	12998	13841	10271
18071	25277	38194	24672	30934	30548	29777	20705	37241	16616
18072	11206	10775	19601	10641	5985	5837	19278	14044	2133
18073	18025	20449	17648	10709	27548	27138	19535	24648	20138
18074	24400	4749	20198	11930	4382	4908	19907	2611	26855
18075	15273	13658	21793	11688	10413	10106	21748	17275	8349
18076	17066	41994	11003	44697	43562	43446	10982	42700	26937
18077	12382	6629	15034	19014	3498	4001	16463	2424	34032
18078	18947	42347	17662	37943	41272	40762	17391	41530	38958
18079	34478	38717	35622	40686	40871	43094	24304	36962	42841
18080	21768	43370	29866	30471	43310	43375	37380	40332	38612
18081	14827	33621	22560	22119	29233	28756	25197	31634	13708
18082	18763	3646	14760	9585	1105	1493	13154	1154	41178
18083	19419	32899	16064	40956	24249	23793	15454	34325	20345
18084	18277	8785	10628	30388	1695	1647	10579	6901	29032
18085	26126	37705	22684	26455	37323	37374	21805	34726	40108
18086	23952	23461	22335	8264	31479	32653	17961	29745	18158
18087	18591	7689	26878	12430	2342	2254	32619	12616	14150
18088	16201	35459	11120	32000	31739	32232	11052	37145	39362
18089	25052	31959	25195	43452	32548	31683	26112	28350	11797
18090	28824	36303	28559	44811	35147	35054	32812	30549	12761
18091	22814	12887	27651	32471	7176	7447	31653	8535	9279
