rank_emul	rank_star	rank_outdeg	rank_tweet	pagerank	sumMnei
658	319	292	1068	505	258
659	903	1638	8806	1199	8108
660	947	794	12592	838	912
661	1121	526	3724	1024	462
662	700	2687	11946	1484	10544
663	1098	2786	11015	1558	10560
664	780	1395	9672	1266	1643
665	531	1470	1021	532	2332
666	353	753	82	1082	765
667	668	1227	697	938	1160
668	649	345	5371	224	312
669	769	711	7313	392	958
670	361	304	703	529	296
671	215	415	240	431	417
672	411	298	1385	472	240
673	771	2408	13205	1465	9974
674	646	398	1591	250	338
675	602	302	312	708	209
676	770	281	3045	482	234
677	2160	2494	11107	1568	10070
678	242	285	65	707	161
679	640	335	3956	278	278
680	847	925	12813	1209	2092
681	541	366	1194	750	350
682	774	718	4469	1038	1048
683	743	1481	6720	1392	2075
684	830	1014	10524	1412	1384
685	800	396	5865	757	399
686	827	1813	12908	1222	6291
687	839	1964	8823	1325	9131
688	753	1393	5683	1216	5724
689	2065	1460	10830	1077	6902
690	621	1036	9926	661	1771
691	977	668	5699	498	911
692	762	896	10019	790	1448
693	921	793	10389	1028	1192
694	535	810	12197	1010	5041
695	508	294	1004	493	199
696	894	1519	10584	715	5544
697	455	391	375	567	391
698	895	319	6637	859	321
699	719	2417	11973	1481	10262
700	840	2852	12959	1638	10449
701	1406	539	7442	774	540
702	957	401	3904	645	353
703	548	403	2023	797	356
704	3558	609	1367	718	656
705	838	2953	12106	1676	10565
706	731	1214	9539	393	1539
707	749	1708	7014	1322	8631
708	530	320	1527	903	226
709	734	2192	13221	1394	8491
710	390	307	104	449	219
711	852	2032	10671	1562	7696
712	583	1561	6373	684	4373
713	1123	2632	7428	1372	10195
714	1322	337	11157	88	304
715	988	2031	11569	1504	8860
716	1202	684	2701	963	1124
717	863	558	6618	454	743
718	729	452	5866	669	382
719	831	2984	11395	1696	10493
720	790	494	5026	497	470
721	935	1329	9701	1318	2599
722	787	2491	6961	1482	10295
723	714	523	1658	554	436
724	738	715	6470	227	776
725	398	491	320	825	439
726	955	1591	10125	1174	8148
727	911	599	5417	1157	640
728	1043	595	5740	486	580
729	1071	502	2710	799	459
730	845	2688	13423	1607	10121
731	332	318	392	518	288
732	938	792	2445	1430	828
733	570	576	2694	881	655
734	619	813	2051	657	1202
735	1276	361	9470	566	362
736	1106	1541	7176	1116	7296
737	909	2101	9177	1569	4217
738	795	997	9293	1125	3263
739	797	459	3205	663	359
740	664	1914	8406	1194	8546
741	704	607	3206	702	674
742	1139	669	2561	1303	844
743	887	682	8499	651	1652
744	713	386	771	595	340
745	1382	287	3272	685	220
746	776	2686	13242	1557	10388
747	752	2292	10843	1495	9441
748	775	1910	8757	1528	3190
749	842	3194	12946	1734	10814
750	945	3205	13502	1843	10646
751	820	402	1237	643	398
752	1007	1120	12460	1498	3387
753	727	765	5606	386	973
754	718	356	2546	621	286
755	1488	1833	5964	1544	7401
756	1049	3195	10826	1735	10830
757	661	329	2392	150	217
758	1044	1431	10574	1507	2754
759	423	626	1128	294	608
760	601	1567	5541	1153	7520
761	763	647	2947	1041	670
762	410	429	981	601	377
763	1622	375	8689	520	341
764	691	2021	4574	1433	8879
765	778	1900	8620	1461	2695
766	163	346	17	848	255
767	861	1107	6019	160	1691
768	1270	567	7189	586	698
769	630	1082	1706	894	1307
770	2074	534	6022	932	533
771	850	1600	7513	1163	5543
772	599	278	42	506	187
773	905	2822	11165	1748	9729
774	2223	587	9011	1206	581
775	1264	762	3665	1398	867
776	1175	1243	12489	1464	1803
777	987	1199	4147	1745	2077
778	571	1908	6756	364	8290
779	693	428	2618	403	368
780	1408	743	6798	1387	902
781	858	326	2622	772	201
782	533	1443	497	982	3515
783	1241	696	9137	280	937
784	1917	967	6985	1411	1246
785	860	1635	10237	1548	4492
786	836	1961	9737	1515	8700
787	214	470	62	703	424
788	2174	773	5272	1287	990
789	1027	512	4786	514	457
790	437	381	262	760	247
791	856	2019	9155	1556	9067
792	908	1802	11194	1158	7638
793	767	1814	13082	1353	7697
794	588	585	2677	17	595
795	1151	2801	11066	1591	10473
796	925	1142	9881	1531	1669
797	901	3413	12635	1839	10906
798	902	3420	11606	1841	10960
799	900	3435	13156	1840	10959
800	899	3436	13218	1842	10965
801	589	621	6639	134	752
802	1046	2736	9457	1803	9772
803	660	959	9707	38	1199
804	924	2999	12889	1763	10369
805	2417	430	602	805	446
806	2141	2679	10707	1732	9924
807	345	367	471	979	227
808	1422	913	4572	489	1219
809	1755	1095	2440	1845	1951
810	1104	349	6563	290	311
811	878	950	9640	897	2020
812	1084	1479	9103	1621	2973
813	949	823	3911	1354	813
814	3567	2997	10018	1827	10252
815	1087	394	1426	753	317
816	579	528	4229	665	480
817	1054	802	7481	976	1055
818	879	2405	12789	1559	9957
819	315	498	78	1217	390
820	670	568	5060	67	617
821	1191	1713	9954	1429	2264
822	1433	3426	12818	1907	10835
823	808	1791	7754	413	8325
824	1127	988	7915	1308	1191
825	907	343	1783	885	309
826	871	2264	8203	1699	2046
827	834	2186	8832	1554	8710
828	703	1134	3093	808	3192
829	959	2905	10111	1823	9970
830	1024	436	2807	1144	426
831	1022	385	3086	675	259
832	855	1152	6690	959	2032
833	1415	755	9568	1391	773
834	971	550	5637	981	491
835	1890	520	7123	776	523
836	1436	1369	10587	1682	1743
837	1315	678	3022	951	782
838	1403	458	3084	748	452
839	1495	2896	11984	2465	9828
840	757	727	1458	1054	528
841	1203	1100	9419	1539	2447
842	564	400	27	723	298
843	1134	855	3721	1362	799
844	1503	1141	8799	1110	3162
845	995	844	4966	1408	977
846	1534	2194	13488	510	7357
847	528	383	793	679	282
848	1307	843	8715	1095	956
849	1579	449	4920	1260	403
850	1028	3424	11685	1953	10166
851	1042	2386	12385	1971	2057
852	884	3010	13124	585	10535
853	576	646	5816	5	563
854	826	540	3949	853	474
855	897	3201	11865	1716	10627
856	1065	2399	11568	1808	9208
857	951	3437	13266	1942	10719
858	655	426	1175	628	333
859	966	3623	12072	1975	10998
860	962	3708	8787	1980	11024
861	963	3713	11401	1981	11026
862	967	3715	12459	1982	11027
863	1052	3742	8900	1985	11117
864	872	660	2317	1147	616
865	968	3752	13487	1986	10982
866	782	409	3650	350	328
867	1131	603	1654	1102	559
868	1058	2857	13434	1847	9694
869	458	707	1687	396	647
870	869	1749	4666	515	3904
871	705	1926	290	1584	8752
872	1016	2853	12982	1944	5427
873	1031	2832	12417	1833	9898
874	639	1040	4549	496	1537
875	1548	849	5844	1069	1371
876	991	2492	10279	1512	8117
877	799	357	2751	545	272
878	920	2979	7592	1782	9621
879	996	3416	11567	1977	10508
880	896	518	2966	1018	576
881	3501	882	9015	1257	1714
882	932	1145	2978	1402	1291
883	818	1414	4192	1368	3544
884	1186	556	1160	502	488
885	846	1360	2488	1011	1516
886	1110	650	4083	1242	609
887	854	1265	8795	188	1698
888	997	466	3657	668	497
889	2205	578	9129	1337	596
890	1037	3736	12923	2239	10936
891	1025	3171	9844	1979	10150
892	688	358	1109	1021	297
893	1947	1933	6818	1959	1900
894	572	1346	235	206	3765
895	1079	1857	9148	1818	3769
896	1258	414	7784	318	414
897	1298	1623	8051	1785	2410
898	969	1326	10185	1040	3644
899	1826	2510	11260	1715	8808
900	756	433	2306	620	354
901	1409	560	9319	1214	591
902	868	1299	2199	1025	2347
903	1009	3724	9924	1984	11043
904	597	662	4710	255	787
905	961	3165	12369	1838	10490
906	1066	2151	4297	2011	5352
907	1039	709	9244	251	564
908	1297	525	7619	1282	430
909	1386	1220	9357	1434	1473
910	1721	3749	11942	2265	10758
911	605	457	781	673	435
912	538	617	138	1294	487
913	1259	475	2328	811	337
914	1021	2379	4241	1863	4274
915	759	1669	10876	1310	8504
916	1308	1156	11841	1100	2120
917	1163	552	4209	490	544
918	1250	969	8312	924	2486
919	1088	835	12167	1169	1042
920	498	693	364	862	602
921	371	355	1593	128	231
922	433	413	813	422	316
923	2295	653	3324	1284	717
924	837	1394	6713	1445	2476
925	1513	729	11329	1172	1278
926	1095	3734	12869	2240	10805
927	1033	3153	8699	1950	10205
