rank_emul	rank_star	rank_outdeg	rank_tweet
999	2393	663	6969
1000	1141	2982	10516
1001	2642	3174	10526
1002	1686	856	11075
1003	1490	500	4725
1004	1473	1739	1728
1005	1269	3015	13425
1006	1113	3004	12974
1007	916	440	2193
1008	1217	3418	11581
1009	2094	1547	12513
1010	1034	3407	9886
1011	1132	3751	13460
1012	1005	1769	4700
1013	867	517	373
1014	2402	582	6363
1015	744	542	149
1016	984	464	88
1017	746	533	1468
1018	1119	3722	11492
1019	248	341	283
1020	1185	527	5328
1021	1093	2848	10793
1022	1194	364	5774
1023	1697	756	6977
1024	1447	1834	993
1025	1825	1016	4257
1026	136	461	13
1027	722	858	628
1028	1287	1189	10681
1029	1099	3746	11935
1030	1256	2663	11293
1031	1122	676	663
1032	1381	1905	5092
1033	690	513	1477
1034	1320	2661	8299
1035	1249	947	2872
1036	1208	2344	5140
1037	720	1109	2880
1038	4401	2037	11
1039	964	3666	12177
1040	2151	3419	9374
1041	1245	2942	9540
1042	760	1121	9880
1043	874	611	5806
1044	627	744	523
1045	1528	3434	11846
1046	1060	2665	11333
1047	1109	4105	10770
1048	976	1305	3454
1049	1248	631	3366
1050	1026	2073	4627
1051	1190	3164	9245
1052	2143	1614	576
1053	1325	836	7018
1054	1277	1427	6278
1055	5457	1318	8931
1056	1076	3390	10399
1057	1236	1244	12727
1058	1397	2265	7828
1059	1147	4127	13419
1060	1193	4418	4439
1061	1152	4476	12134
1062	1158	4547	12342
1063	1159	4641	13063
1064	1155	4650	13174
1065	1154	4655	11905
1066	1177	2258	11046
1067	3654	1955	9615
1068	751	456	1352
1069	1032	1278	7210
1070	1150	4561	10488
1071	1114	3748	13381
1072	1008	3539	9471
1073	1480	695	6646
1074	322	390	145
1075	1321	1043	2814
1076	934	389	4908
1077	2452	1311	8434
1078	1525	3429	11753
1079	1499	784	2593
1080	1105	1285	10086
1081	1226	1644	11885
1082	1252	4611	9376
1083	844	485	1250
1084	1170	1230	5068
1085	1100	1540	4318
1086	1328	774	7851
1087	1338	4657	13318
1088	1156	4623	12841
1089	1302	3159	8296
1090	1017	881	1978
1091	1040	973	2332
1092	1000	814	3321
1093	1142	3400	12407
1094	1268	1174	9747
1095	1165	1137	2167
1096	1396	657	1771
1097	1253	4649	13167
1098	522	437	260
1099	1874	1194	3644
1100	1199	3144	7531
1101	1002	3116	5310
1102	1963	4106	11709
1103	1317	1491	11686
1104	4281	2672	10602
1105	2475	471	8063
1106	975	559	6455
1107	1137	476	294
1108	1399	1341	3481
1109	1234	2398	12578
1110	1873	1264	9800
1111	960	1398	11629
1112	939	1108	3098
1113	2277	3695	11228
1114	1550	3422	9985
1115	913	564	1862
1116	758	681	718
1117	1576	2957	11074
1118	1655	1006	7594
1119	1108	2331	4074
1120	1540	865	11609
1121	1006	554	359
1122	2342	4553	11294
1123	728	463	658
1124	1061	977	2299
1125	1144	3011	13253
1126	2107	1072	3940
1127	890	1257	789
1128	2118	3657	3609
1129	1129	1103	35
1130	1524	3438	13311
1131	1167	740	3219
1132	715	649	722
1133	981	985	5112
1134	2398	815	10506
1135	1101	1730	4596
1136	857	645	1073
1137	555	348	1551
1138	1157	4643	13080
1139	1305	1183	4850
1140	1280	1960	10349
1141	1463	4389	12042
1142	674	847	4273
1143	1096	1734	8059
1144	1378	515	3976
1145	1073	2082	1709
1146	1295	4130	10899
1147	2142	2339	5764
1148	1263	2851	11776
1149	1243	808	1006
1150	1075	597	730
1151	1374	2678	8397
1152	2285	1564	366
1153	1313	3754	13514
1154	1184	919	5020
1155	1206	1428	5548
1156	1742	2980	12362
1157	1429	632	3109
1158	1120	3013	13274
1159	1275	4635	11797
1160	1339	2789	7786
1161	2428	1459	12865
1162	1057	712	1620
1163	1423	1537	6001
1164	1790	3649	6945
1165	1239	3399	10463
1166	1398	1005	8588
1167	1859	3163	10435
1168	2187	1461	8904
1169	1391	588	4199
1170	1512	1101	13037
1171	1255	2108	10588
1172	1364	1691	3258
1173	1128	1846	2702
1174	650	600	621
1175	1111	2965	8229
1176	910	1054	1095
1177	4903	3303	7394
1178	4224	692	4819
1179	1402	2191	8909
1180	2146	1793	4429
1181	1309	4569	10514
1182	1146	956	2551
1183	1094	1380	4493
1184	1227	1712	9359
1185	1684	2659	9753
1186	1015	486	125
1187	1018	2145	999
1188	3582	690	1856
1189	1260	3187	11556
1190	1395	637	3292
1191	1394	789	1376
1192	3503	3405	9861
1193	408	1185	560
1194	1222	3001	11777
1195	1261	3971	6240
1196	810	594	1832
1197	1461	1170	1889
1198	2134	4658	10080
1199	1329	4367	8993
1200	1459	581	2109
1201	223	424	94
1202	1153	4659	11936
1203	1343	4918	12009
1204	1345	4982	12032
1205	1441	4992	7440
1206	1347	5170	12304
1207	1349	5199	11317
1208	1348	5204	12386
1209	1346	4575	11421
1210	2007	5291	12738
1211	1342	5297	12773
1212	1340	5307	12827
1213	1341	5313	12878
1214	1344	5324	12948
1215	2004	5330	11798
1216	2006	5331	13018
1217	2005	5359	13457
1218	1467	5350	13289
1219	4865	667	9511
1220	2314	3517	8936
1221	1700	1247	2885
1222	1444	2287	12509
1223	1133	4452	12111
1224	1443	982	4030
1225	1333	652	3907
1226	1069	1501	3503
1227	1731	2662	11278
1228	1279	1251	1716
1229	4973	3104	8093
1230	1834	725	8517
1231	877	1038	3517
1232	1324	465	2006
1233	1278	1236	3636
1234	1946	4070	9888
1235	1377	4654	10880
1236	3509	1821	3884
1237	1335	4563	11353
1238	1334	3391	12289
1239	2858	639	7780
1240	1138	3156	6115
1241	1160	548	1116
1242	933	1671	151
1243	2358	1046	11552
1244	1625	731	2327
1245	4100	1516	8736
1246	2416	590	1265
1247	1577	781	4187
1248	786	983	7247
1249	1808	839	5002
1250	2572	1128	3018
1251	1477	5349	11910
1252	1489	2290	7650
1253	943	719	326
1254	1813	1102	13113
1255	1815	3382	9695
1256	1196	1217	5879
1257	1812	506	8592
1258	1353	2809	7866
1259	2407	1091	432
1260	1571	1364	5847
1261	3899	1801	9165
1262	1323	4371	7755
1263	2201	5344	10869
1264	1454	467	1249
1265	1385	4063	7038
1266	1332	4122	8913
1267	1254	1068	2843
1268	1458	2397	8840
1269	6058	2409	516
1270	1566	2975	9227
1271	1646	618	7945
1272	1492	1366	6745
1273	1400	4533	9750
1274	1319	4124	13319
1275	1376	630	509
1276	1703	1389	4907
1277	970	722	699
1278	811	489	581
1279	1472	699	2008
1280	1267	828	559
